               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.059734,            0.068333,            0.013847,             0.82166,             0.74192,              0.7843,             0.43484,            0.055722,            0.067475,            0.012762,            0.006733,            0.006733,            0.006733
                  35,            0.059841,            0.068464,            0.013902,             0.82431,             0.74072,             0.78881,             0.43627,            0.055519,            0.067339,            0.012662,            0.006634,            0.006634,            0.006634
                  35,              0.0594,            0.067723,            0.013808,              0.8171,             0.74179,              0.7864,             0.43727,            0.055608,            0.067113,            0.012728,            0.006634,            0.006634,            0.006634
                  36,            0.059689,            0.068601,            0.013862,             0.82464,             0.74217,              0.7913,             0.43839,            0.055501,             0.06738,            0.012663,            0.006535,            0.006535,            0.006535
                  36,            0.059725,            0.067988,            0.013788,             0.82703,              0.7447,             0.79097,             0.43899,            0.055511,            0.067025,            0.012707,            0.006535,            0.006535,            0.006535
                  37,            0.059658,            0.068738,            0.013827,             0.82326,             0.74699,             0.79267,             0.43856,            0.055391,            0.067071,            0.012639,            0.006436,            0.006436,            0.006436
                  37,            0.059434,            0.067944,             0.01368,             0.82344,             0.74231,              0.7907,             0.44052,            0.055468,            0.067152,            0.012651,            0.006436,            0.006436,            0.006436
                  38,            0.059426,            0.068169,            0.013772,             0.82286,             0.74773,             0.79325,              0.4406,            0.055326,            0.067054,            0.012601,            0.006337,            0.006337,            0.006337
                  38,            0.059358,            0.067568,             0.01369,             0.82625,             0.74957,             0.79425,             0.44262,             0.05543,            0.067098,            0.012668,            0.006337,            0.006337,            0.006337
                  39,            0.059464,            0.068625,            0.013757,             0.82288,              0.7453,             0.79266,             0.44148,            0.055267,            0.066871,            0.012582,            0.006238,            0.006238,            0.006238
                  39,            0.059105,            0.066995,            0.013629,             0.82112,             0.74902,             0.79504,              0.4421,             0.05538,              0.0669,            0.012642,            0.006238,            0.006238,            0.006238
                  40,            0.059335,            0.067302,            0.013683,              0.8254,             0.74945,             0.79525,             0.44439,            0.055195,            0.066839,            0.012557,            0.006139,            0.006139,            0.006139
                  40,            0.058978,            0.066961,            0.013509,             0.82545,             0.74646,             0.79478,             0.44485,            0.055279,            0.066846,             0.01259,            0.006139,            0.006139,            0.006139
                  41,            0.059302,            0.067623,            0.013698,             0.82596,             0.75162,             0.79675,             0.44557,            0.055064,            0.066721,            0.012526,             0.00604,             0.00604,             0.00604
                  41,            0.059031,            0.067659,            0.013601,             0.82787,             0.74719,             0.79498,             0.44453,             0.05519,            0.066774,            0.012584,             0.00604,             0.00604,             0.00604
                  42,            0.059257,            0.068089,            0.013698,             0.83057,             0.75098,             0.79835,             0.44638,            0.055017,            0.066637,            0.012492,            0.005941,            0.005941,            0.005941
                  42,            0.058822,            0.066915,            0.013456,             0.82805,             0.74774,              0.7955,             0.44602,            0.055178,            0.066768,            0.012581,            0.005941,            0.005941,            0.005941
                  43,               0.059,            0.067249,            0.013592,             0.82887,             0.75415,             0.79935,             0.44777,               0.055,            0.066544,            0.012473,            0.005842,            0.005842,            0.005842
                  43,            0.058775,            0.066791,            0.013417,             0.82508,             0.75324,             0.79748,             0.44585,             0.05515,            0.066733,            0.012555,            0.005842,            0.005842,            0.005842
                  44,            0.059043,            0.067385,            0.013552,             0.82306,             0.75638,             0.79861,             0.44929,            0.054917,            0.066499,            0.012467,            0.005743,            0.005743,            0.005743
                  44,            0.058763,            0.066376,            0.013366,             0.82514,             0.75248,             0.79893,             0.44783,            0.055075,            0.066606,            0.012546,            0.005743,            0.005743,            0.005743
                  45,            0.058969,            0.068027,            0.013542,             0.83134,             0.75715,             0.80368,             0.45198,             0.05489,            0.066477,            0.012462,            0.005644,            0.005644,            0.005644
                  45,            0.058795,            0.066646,            0.013436,             0.82385,             0.75693,             0.79992,             0.44924,            0.055004,            0.066527,            0.012526,            0.005644,            0.005644,            0.005644
                  46,            0.058981,             0.06714,            0.013563,             0.83284,             0.75782,             0.80534,             0.45243,            0.054826,            0.066428,             0.01246,            0.005545,            0.005545,            0.005545
                  46,            0.058644,            0.066717,             0.01343,             0.83139,             0.75355,               0.801,              0.4493,            0.054943,            0.066548,            0.012509,            0.005545,            0.005545,            0.005545
